"nceas_proj","nceas_obj_id","agency","lon","lat","project_title","filepath_gpc_atts","filepath_gpc_spatial","internal_id_name","internal_id","doc_id","comment","type","AREA_SQMI","E_TOTPOP","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","CIscore","CIscoreP","protected_land","easement_site","percent_protected","flood_risk","terrest_ntv_species_count","aquatic_ntv_species_rank","terrest_connectivity_rank","terrest_hab_rank","aquatic_hab_rank","park_name","percent_park"
"proj_cdfw_7","cdfw1","cdfw",-121.6306,38.6761,"Reclamation District 2035/Woodland-Davis Clean Water Agency Joint Intake and Fish Screen","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696014","P1696014_RecDist2035_proposal.pdf","","cdfw6",23.8972578052,2132,0.721,0.4206,0.2602,0.4705,0.5676,56.34200068,93.44427635,NA,NA,38.4,"Special Flood Hazard Area (SFHA), high-risk area",218,5,4,4,4,NA,0
"proj_cdfw_5","cdfw2","cdfw",-121.62415,38.55354,"Yolo Bypass Wildlife Area Habitat and Drainage Improvement Project Permitting","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696009","P1696009_YBWADrainage_proposal.pdf","","cdfw6",134.694345645,4640,0.0743,0.3046,0.1761,0.3809,0.1671,14.47581806,24.26878467,"Yolo Bypass Wildlife Area",NA,36,"Special Flood Hazard Area (SFHA), high-risk area",220,4,3,4,5,NA,0
"proj_cdfw_2","cdfw3","cdfw",-122.02089,38.20252,"Rush Ranch Lower Spring Branch Creek and Suisun Hill Hollow Tidal Connections Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1596027","P1596027_RushRanch_proposal.pdf","","cdfw6",81.96342832,7328,0.5946,0.7852,0.6064,0.8674,0.759,34.55599798,66.8179526,"Rush Ranch Open Space",NA,29.1,"Non-Special Flood Hazard Area, moderate- to low-risk area",235,4,5,4,4,NA,0
"proj_cdfw_9","cdfw5","cdfw",-122.5111716,38.02341088,"McInnis Marsh Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1796014","Application Overview.pdf","folder with more detail","cdfw4",4.72712902573,4584,0.3947,0.4703,0.2204,0.9824,0.6301,20.31357788,38.26273323,"John F. McInnis County Park",NA,20.3,"Special Flood Hazard Area (SFHA), high-risk area",268,5,1,4,5,"John F. Mcinnis County Park",14.6
"proj_cdfw_10","cdfw6","cdfw",-122.5513911,38.14962083,"Burdell Unit Tidal Restoration Feasibility Study","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1896014","646-Application Overview.pdf","folder with more detail","cdfw7",12.8106292239,2750,0.0725,0.136,0.0458,0.0094,0.0063,10.21712091,13.51487645,"Petaluma Marsh Wildlife Area",NA,45.2,"Special Flood Hazard Area (SFHA), high-risk area",253,5,2,5,5,NA,18.7
"proj_cdfw_4","cdfw7","cdfw",-121.62818,37.96083,"Knightsen Wetland Restoration and Flood Protection Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696007","P1696007_Knightsen_proposal.pdf","","cdfw6",14.8670856963,3064,0.1345,0.3442,0.1595,0.3124,0.1837,11.11284257,15.69591528,"Delta Access Regional Recreation Area",NA,21,"Special Flood Hazard Area (SFHA), high-risk area",207,5,1,3,5,NA,0
"proj_cdfw_8","cdfw8","cdfw",-122.0829248,38.02984398,"Lower Walnut Creek Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1796013","36421 Application Overview.pdf","folder with more detail","cdfw4",5.70062653122,2999,0.4846,0.2502,0.28,0.1205,0.2632,37.68040536,71.59606657,NA,NA,11.4,"Special Flood Hazard Area (SFHA), high-risk area",248,5,5,3,5,NA,10.1
"proj_cdfw_6","cdfw9","cdfw",-122.13,37.564,"San Francisco Estuary Invasive Spartina Removal and Tidal Marsh Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696011","P1696011_SpartinaPhaseI_proposal.pdf","","cdfw6",28.087183041,7469,0.196,0.198,0.8252,0.2973,0.2615,23.05521689,44.65456379,"Don Edwards National Wildlife Refuge",NA,63.8,"Special Flood Hazard Area (SFHA), high-risk area",247,5,2,2,5,NA,63
"proj_cdfw_3","cdfw10","cdfw",-122.08591,37.44188,"South Bay Salt Pond Restoration Project Phase 2: Ravenswood and Mt. View Ponds","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1696003","P1696003_SouthBaySaltPonds_proposal.pdf","","cdfw6",7.30844213217,1065,0.4507,0.4218,0.4741,0.3856,0.428,25.53925833,49.94957136,"Don Edwards National Wildlife Refuge",NA,59.5,"Special Flood Hazard Area (SFHA), high-risk area",271,5,2,3,5,"Don Edwards National Wildlife Refuge",60.4
"proj_cdfw_11","cdfw11","cdfw",-121.5091,38.12542,"Staten Island Multi-benefit Wetland Restoration Feasibility Study","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1896053","P1896053_StatenIsland_proposal.pdf","","cdfw1",108.435127388,2128,0.858,0.9825,0.4354,0.7363,0.8952,44.20541083,81.10186586,"Staten Island","Staten Island Conservation Easement",27.1,"Special Flood Hazard Area (SFHA), high-risk area",218,5,4,3,4,NA,0.3
"proj_cdfw_12","cdfw12","cdfw",-122.295894,37.831294,"San Francisco Estuary Invasive Spartina Removal and Tidal Marsh Restoration Project, Phase II","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","Q1996001","Q1996001_SpartinaPhaseII_proposal.pdf","","cdfw1",0.2310627419,1588,0.343,0.2529,0.3511,0.4021,0.3219,43.46950376,80.09329299,"McLaughlin Eastshore State Park",NA,33.9,"Special Flood Hazard Area (SFHA), high-risk area",264,5,1,2,5,"Mclaughlin Eastshore State Park",23
"proj_cdfw_16","cdfw13","cdfw",-121.5363396,38.10447429,"Analysis of opportunities for island-wide improvements that includes a mosaic of multiple land uses for subsidence reversal, sustainable agricultural practices, carbon sequestration, water quality, & habitat restoration.","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","Q2096022","Q2096022_METIslands_proposal.pdf","","cdfw5",108.435127388,2128,0.858,0.9825,0.4354,0.7363,0.8952,44.20541083,81.10186586,"Bouldin Island",NA,27.1,"Special Flood Hazard Area (SFHA), high-risk area",213,5,3,3,4,NA,0.3
"proj_cdfw_17","cdfw15","cdfw",-122.3732047,37.73789722,"Heron's Head Park Shoreline Resilience Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","Q2196007","Q2196007-Herons head.pdf","folder with more detail","cdfw2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heron's Head Park",NA,NA,"Special Flood Hazard Area (SFHA), high-risk area",261,5,1,2,5,"Heron'S Head Park",NA
"proj_cdfw_14","cdfw16","cdfw",-122.0193106,38.23327586,"Hill Slough Wetland Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","Q1996047","Q1996047 Hill Slough.pdf","folder with more detail","cdfw3",81.96342832,7328,0.5946,0.7852,0.6064,0.8674,0.759,34.55599798,66.8179526,"Hill Slough Wildlife Area",NA,29.1,"Special Flood Hazard Area (SFHA), high-risk area",238,5,3,4,5,NA,0
"proj_cdfw_13","cdfw17","cdfw",-122.0845811,38.03075617,"Lower Walnut Creek Restoration","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","Q1996042","Q1996042 Lower walnut creek.pdf","folder with more detail","cdfw3",5.70062653122,2999,0.4846,0.2502,0.28,0.1205,0.2632,37.68040536,71.59606657,NA,NA,11.4,"Special Flood Hazard Area (SFHA), high-risk area",248,5,5,3,5,NA,10.1
"proj_cdfw_1","cdfw18","cdfw",-121.7459681,38.04361235,"Sherman Island Restoration Project","data/grant_program_coordinates/intermediate_steps//cdfw_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Number","P1496003","new_P1496003 Sherman Island Application 12-19-2014","","",45.049476723,1476,0.4989,0.8026,0.0928,0.2753,0.4584,29.11094953,57.06001009,"Sherman Island","Sherman Island",43.6,"Special Flood Hazard Area (SFHA), high-risk area",205,5,3,2,5,NA,0
"proj_cnra_1","cnra1","cnra",-122.4961,37.96826,"Tiscornia Marsh Restoration and Sea Level Rise Adaptation Project","data/grant_program_coordinates/intermediate_steps//cnra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg",NA,NA,"OPC Tiscornia Marsh Full Proposal_revised 7-8-21.pdf","","opc",NA,NA,NA,NA,NA,NA,NA,37.24420474,70.85224407,"San Rafael Tidelands",NA,NA,"Special Flood Hazard Area (SFHA), high-risk area",285,5,1,3,5,NA,NA
"proj_cnra_1","cnra2","cnra",-122.181484,37.839801,"McCosker Stream Restoration & Public Access","data/grant_program_coordinates/intermediate_steps//cnra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg",NA,NA,"McCosker Stream Restoration App.pdf","","cnra",NA,NA,NA,NA,NA,NA,NA,4.072361291,1.664145234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cnra_1","cnra3","cnra",-122.44396,37.72097,"OMI/Excelsior Living Library & Think Park Seneca Avenue Streetscape","data/grant_program_coordinates/intermediate_steps//cnra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg",NA,NA,"OMIExcelsior Living Library & Think Park App.pdf","","cnra",NA,NA,NA,NA,NA,NA,NA,28.50005774,55.88754413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cnra_1","cnra5","cnra",-121.32824,37.9386,"Port of Stockton Eastern Southditch Wetland Enhancment Project","data/grant_program_coordinates/intermediate_steps//cnra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg",NA,NA,"Port of Stockton Eastern Southditch Wetland App.pdf","","cnra",1.7376717422,1980,0.9883,0.3529,0.9337,0.0878,0.6437,72.68136917,99.40746344,NA,NA,0.4,"Non-Special Flood Hazard Area, moderate- to low-risk area",212,4,1,4,4,NA,0.4
"proj_cnra_1","cnra6","cnra",-122.34075,37.958079,"Wildcat Creek Restoration and Greenway Trail","data/grant_program_coordinates/intermediate_steps//cnra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg",NA,NA,"Wildcat Creek Restoration App.pdf","","cnra",NA,NA,NA,NA,NA,NA,NA,43.87264397,80.66061523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cscc_1","cscc1","cscc",-122.076,37.4711,"South Bay Salt Pond Restoration Project: Phase I Implementation","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","02-070-02","02-070-02and05.pdf","Same proposal as 02-070-05","CSCC 1",NA,NA,NA,NA,NA,NA,NA,25.53925833,49.94957136,NA,NA,NA,"Special Flood Hazard Area (SFHA), high-risk area",NA,5,NA,NA,5,NA,NA
"proj_cscc_2","cscc3","cscc",-122.085828,37.441433,"South Bay Salt Pond Restoration Project: Phase II Implementation (Prop1)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","02-070-05","02-070-02and05.pdf","Same proposal as 02-070-02","CSCC 1",7.30844213217,1065,0.4507,0.4218,0.4741,0.3856,0.428,25.53925833,49.94957136,"Don Edwards National Wildlife Refuge",NA,59.5,"Special Flood Hazard Area (SFHA), high-risk area",271,5,2,3,5,"Don Edwards National Wildlife Refuge",60.4
"proj_cscc_5","cscc8","cscc",-122.46653,38.210086,"LandSmart On-the-Ground for Sonoma Creek Vineyards (Prop1 Round1)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","16-001-01","16-001-01.pdf","","CSCC 2",59.6475941135,2560,0.1155,0.085,0.0314,0.3402,0.0941,11.82291613,17.38527484,NA,NA,25,"Non-Special Flood Hazard Area, moderate- to low-risk area",200,4,3,3,4,NA,0
"proj_cscc_6","cscc36","cscc",-122.2115,37.5553,"Iron Triangle - Urban Greening Project (Prop1 Round3)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","16-044-01","16-044-01.pdf","","CSCC 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA
"proj_cscc_7","cscc38","cscc",-122.230608,37.431435,"Candlestick Point Rainwater Harvesting and Education (Prop1 Round3)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","16-046-01","16-046-01.pdf","","CSCC 2",NA,NA,NA,NA,NA,NA,NA,5.68131637,4.07211296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cscc_8","cscc57","cscc",-122.181484,37.839801,"Alder (McCosker) Creek Restoration Project (Prop1 Round5)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-007-01","17-007-01.pdf","","CSCC 2",NA,NA,NA,NA,NA,NA,NA,4.072361291,1.664145234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cscc_9","cscc62","cscc",-122.178706,37.765512,"Living Schoolyards for Oakland (Prop1 Round6)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-019-01","17-019-01.pdf","","CSCC 2",NA,NA,NA,NA,NA,NA,NA,34.61129656,66.94402421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cscc_10","cscc63","cscc",-122.273536,38.287461,"Napa River Watershed Urban Stream Enhancement Project (Prop1 Round6)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-020-01","17-020-01.pdf","","CSCC 2",1.09743895021,6153,0.7803,0.7587,0.4562,0.9003,0.8377,35.69417994,68.70902673,NA,NA,7.2,"Special Flood Hazard Area (SFHA), high-risk area",238,5,1,5,5,NA,5.5
"proj_cscc_11","cscc64","cscc",-122.34075,37.958079,"Wildcat Creek Restoration and Greenway Trail (Prop1 Round3)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-022-01","17-022-01.pdf","","CSCC 2",NA,NA,NA,NA,NA,NA,NA,43.87264397,80.66061523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cscc_12","cscc65","cscc",-122.22642,37.48951,"Downtown Redwood City Creek Restoration Project (Prop1 Round6)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-025-01","17-025-01.pdf","","CSCC 4",0.658969163746,4441,0.2377,0.0483,0.4317,0.8716,0.3413,40.36723358,75.61775088,NA,NA,1.4,"Special Flood Hazard Area (SFHA), high-risk area",247,5,1,2,5,NA,1.4
"proj_cscc_13","cscc67","cscc",-122.242161,38.094539,"Lake Dalwigk Urban Greening (Prop1 Round6)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-026-01","17-026-01.pdf","","CSCC 2",0.850776529204,3667,0.8439,0.8053,0.718,0.7328,0.8461,65.12112326,97.86938981,"Lake Dalwigk",NA,6.2,"Special Flood Hazard Area (SFHA), high-risk area",197,5,1,1,5,NA,7
"proj_cscc_14","cscc73","cscc",-122.315266,37.889351,"Albany Beach Restoration & Public Access Project, Phase 2 (Prop1 Round7)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-033-01","17-033-01.pdf","","CSCC 2",0.355296465828,1772,0.4193,0.123,0.5744,0.6589,0.4252,NA,NA,NA,NA,28.7,"Special Flood Hazard Area (SFHA), high-risk area",278,5,1,4,5,NA,26.3
"proj_cscc_3","cscc75","cscc",-122.382362,37.723824,"Yosemite Slough Wetland Restoration - North Side Implementation Phase 2A (Urban Green; Prop1 Round7)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","02-097-03","02-097-03.pdf","","CSCC 2",0.330722231834,4326,0.4364,0.7757,0.8368,0.5269,0.6009,54.605674,92.20877458,"Candlestick Point State Recreation Area",NA,9.9,"Non-Special Flood Hazard Area, moderate- to low-risk area",261,5,1,1,5,"Candlestick Point State Recreation Area",12.5
"proj_cscc_15","cscc81","cscc",-122.58081,37.89658,"Muir Woods National Monument Salmon Habitat Restoration","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","17-043-01","17-043-01.pdf","","CSCC 2",NA,NA,NA,NA,NA,NA,NA,11.54111003,16.69188099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cscc_16","cscc86","cscc",-121.801722,37.936786,"Horse Valley Creek and Wetland Restoration Project (Prop1 Round8)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","18-003-01","18-003-01.pdf","","CSCC 5",NA,NA,NA,NA,NA,NA,NA,20.87271717,39.75037821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proj_cscc_17","cscc92","cscc",-122.366658,37.960306,"North Richmond Watershed Connections (Prop1 Round6)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","18-014-01","18-014-01.pdf","","CSCC 2",2.24478428663,5422,0.8023,0.9042,0.9304,0.8211,0.9038,60.67523896,96.14220877,NA,NA,1.1,"Non-Special Flood Hazard Area, moderate- to low-risk area",230,5,1,2,4,NA,1.1
"proj_cscc_18","cscc102","cscc",-121.709403,37.934415,"Three Creeks Parkway at Marsh Creek Restoration Project (Prop1 Round 7)","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","18-051-01","18-051-01.pdf","","CSCC 2",1.43843303965,8126,0.2244,0.2448,0.2422,0.2452,0.194,19.77513752,36.91376702,NA,NA,4.8,"Special Flood Hazard Area (SFHA), high-risk area",203,5,4,1,5,"Marsh Creek Trail",6.3
"proj_cscc_19","cscc115","cscc",-122.555407,37.961066,"Corte Madera Creek Salmonid Fish Passage Project","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","19-047-01","19-047-01.pdf","","CSCC 6",1.54916130172,2453,0.0834,0.295,0.0149,0.1382,0.0769,6.022446841,4.689863843,NA,NA,1.1,"Special Flood Hazard Area (SFHA), high-risk area",258,5,1,3,4,NA,1.4
"proj_cscc_20","cscc116","cscc",-122.109694,37.454556,"Palo Alto Horizontal Levee Pilot Project","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","19-048-01","19-048-01.pdf","","CSCC 7",7.30844213217,1065,0.4507,0.4218,0.4741,0.3856,0.428,25.53925833,49.94957136,"Baylands Preserve",NA,59.5,"Special Flood Hazard Area (SFHA), high-risk area",268,5,3,3,5,"Baylands Preserve",60.4
"proj_cscc_21","cscc119","cscc",-122.34514,37.93265,"Dirt World Bike Park Urban Greening Project","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","19-053-01","19-053-01.pdf","","CSCC 2",0.757952202976,6848,0.8159,0.8411,0.8945,0.7826,0.8761,49.70165234,87.55673222,NA,NA,6.7,"Non-Special Flood Hazard Area, moderate- to low-risk area",252,5,1,1,3,NA,6.7
"proj_cscc_4","cscc125","cscc",-122.297432,37.88331,"Codornices Creek Restoration Phase V Planning","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","04-108-03","04-108-03.pdf","","CSCC 2",1.73925321599,2157,0.2469,0.2325,0.2501,0.8451,0.4055,34.1573555,66.17498739,NA,NA,32.8,"Special Flood Hazard Area (SFHA), high-risk area",278,5,1,4,3,NA,31.9
"proj_cscc_22","cscc126","cscc",-122.356108,37.96172,"Rumrill Complete Streets","data/grant_program_coordinates/intermediate_steps//cscc_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","Project_Number","20-009-01","20-009-01.pdf","","CSCC 2",0.25375202593,3979,0.7524,0.9562,0.9361,0.9133,0.9365,44.46295859,81.3792234,NA,NA,9,"Special Flood Hazard Area (SFHA), high-risk area",230,5,1,2,4,NA,9.7
"proj_sfbra_2","sfbra1","sfbra",-121.8732696,38.09540716,"Montezuma Wetlands Restoration Project","data/grant_program_coordinates/intermediate_steps//sfbra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","projectid","1062","1062_1_2_MWLLC_SFBRA_Application 111417.pdf, 1062_2_2_MWLLC_SFBRA_Application 111417.pdf","Program manager suggested including both proposals: ""Phase 2 is a fairly different project.""","sfbra1",81.0624338203,4636,0.66,0.7543,0.3001,0.3145,0.5668,41.76418962,77.76096823,NA,NA,6.9,"Non-Special Flood Hazard Area, moderate- to low-risk area",220,5,5,4,3,NA,0.1
"proj_sfbra_8","sfbra7","sfbra",-122.3922024,38.17574539,"Skaggs Island and Haire Ranch Restoration","data/grant_program_coordinates/intermediate_steps//sfbra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","projectid","5293","5293_9956_SanPabloBaylands CPR AA Application_SkaggsIslandHaireRanch.pdf","Same proposal as 9956.","",59.6475941135,2560,0.1155,0.085,0.0314,0.3402,0.0941,11.82291613,17.38527484,"San Pablo Bay National Wildlife Refuge",NA,25,"Special Flood Hazard Area (SFHA), high-risk area",234,5,5,2,5,NA,0
"proj_sfbra_9","sfbra9","sfbra",-122.1277273,37.58882851,"South Bay Salt Ponds: Eden Landing - Southern Eden Landing (Phase 2)","data/grant_program_coordinates/intermediate_steps//sfbra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","projectid","5294","","Exclude due to PDF issues. Script can't read the text. Part of SBSP, combined proposal with 5333 and 5388.","",19.0211397397,7516,0.5618,0.3277,0.7999,0.7047,0.6029,39.53146382,74.20574887,"Eden Landing Ecological Reserve",NA,62,"Special Flood Hazard Area (SFHA), high-risk area",246,5,3,2,5,NA,8.6
"proj_sfbra_10","sfbra20","sfbra",-122.1471387,37.64373995,"Restore Hayward Marsh (Former USD Treatment Marsh)","data/grant_program_coordinates/intermediate_steps//sfbra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","projectid","5302","5302_2. Hayward Marsh Application_Project Descrpition and Prioritization Criteria.pdf","","",19.0211397397,7516,0.5618,0.3277,0.7999,0.7047,0.6029,39.53146382,74.20574887,NA,NA,62,"Special Flood Hazard Area (SFHA), high-risk area",244,5,1,1,5,NA,8.6
"proj_sfbra_11","sfbra22","sfbra",-122.072058,37.55370975,"Coyote Hills Regional Park - Restoration and Public Access Project","data/grant_program_coordinates/intermediate_steps//sfbra_atts.csv","data/grant_program_coordinates/intermediate_steps/gpc3_spatial.gpkg","projectid","5304","5304_2. EBRPD_Coyote Hills project_Round 4 Application 2020_final.pdf","Included only the second of two available proposals. Program manager reported that the first was planning, and the second construction.","",28.087183041,7469,0.196,0.198,0.8252,0.2973,0.2615,23.05521689,44.65456379,"Coyote Hills Regional Park","Coyote Hills",63.8,"Non-Special Flood Hazard Area, moderate- to low-risk area",244,5,3,4,5,"Coyote Hills Regional Park",63
